Phone,State,Area Code,Int'l Plan,VMail Plan,Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Est Mins,CustServ Actual Mins,CustServ Calls,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,Total Charge,Churn
382-4657,KS,415,0,1,128,25,265.1,197.4,244.7,10,26,5,1,110,45.07,99,16.78,91,11.01,3,2.7,75.56,0
371-7191,OH,415,0,1,107,26,161.6,195.5,254.4,13.7,26,2,1,123,27.47,103,16.62,103,11.45,3,3.7,59.24,0
358-1921,NJ,415,0,0,137,0,243.4,121.2,162.6,12.2,,26,0,114,41.38,110,10.3,104,7.32,5,3.29,62.29,0
375-9999,OH,408,1,0,84,0,299.4,61.9,196.9,6.6,40,50,2,71,50.9,88,5.26,89,8.86,7,1.78,66.8,0
330-6626,OK,415,1,0,75,0,166.7,148.3,186.9,10.1,54,36,3,113,28.34,122,12.61,121,8.41,3,2.73,52.09,0
391-8027,AL,510,1,0,118,0,223.4,220.6,203.9,6.3,6,,0,98,37.98,101,18.75,118,9.18,6,1.7,67.61,0
355-9993,MA,510,0,1,121,24,218.2,348.5,212.6,7.5,,50,3,88,37.09,108,29.62,118,9.57,7,2.03,78.31,0
329-9001,MO,415,1,0,147,0,157,103.1,211.8,7.1,5,9,,79,26.69,94,8.76,96,9.53,6,1.92,46.9,0
335-4719,LA,408,0,0,117,0,184.5,351.6,215.8,8.7,,49,1,97,31.37,80,29.89,90,9.71,4,2.35,73.32,0
330-8173,WV,415,1,1,141,37,258.6,222,326.4,11.2,28,0,,84,43.96,111,18.87,97,14.69,5,3.02,80.54,0
329-6603,IN,415,0,0,65,0,129.1,228.5,208.8,12.7,55,43,4,137,21.95,83,19.42,111,9.4,6,3.43,54.2,1
344-9403,RI,415,0,0,74,0,187.7,163.4,196,9.1,,29,0,127,31.91,148,13.89,94,8.82,5,2.46,57.08,0
363-1107,IA,408,0,0,168,0,128.8,104.9,141.1,11.2,35,32,1,96,21.9,71,8.92,128,6.35,2,3.02,40.19,0
394-8006,MT,510,0,0,95,0,156.6,247.6,192.3,12.3,45,38,3,88,26.62,75,21.05,115,8.65,5,3.32,59.64,0
366-9238,IA,415,0,0,62,0,120.7,307.2,203,13.1,,40,4,70,20.52,76,26.11,99,9.14,6,3.54,59.31,0
351-7269,NY,415,0,0,161,0,332.9,317.8,160.6,5.4,56,65,4,67,56.59,97,27.01,128,7.23,9,1.46,92.29,1
350-8884,ID,408,0,1,85,27,196.4,280.9,89.3,13.8,27,23,1,139,33.39,90,23.88,75,4.02,4,3.73,65.02,0
386-2923,VT,510,0,0,93,0,190.7,218.2,129.6,8.1,53,48,,114,32.42,111,18.55,121,5.83,3,2.19,58.99,0
356-2992,VA,510,0,1,76,33,189.7,212.8,165.7,10,18,34,1,66,32.25,65,18.09,108,7.46,5,2.7,60.5,0
373-2782,TX,415,0,0,73,0,224.4,159.5,192.8,13,25,37,1,90,38.15,88,13.56,74,8.68,2,3.51,63.9,0
396-5800,FL,415,0,0,147,0,155.1,239.7,208.8,10.6,,7,0,117,26.37,93,20.37,133,9.4,4,2.86,59,0
393-7984,CO,408,0,0,77,0,62.4,169.9,209.6,5.7,58,67,5,89,10.61,121,14.44,64,9.43,6,1.54,36.02,1
358-1958,AZ,415,0,0,130,0,183,72.9,181.8,9.5,6,,,112,31.11,99,6.2,78,8.18,19,2.57,48.06,0
350-2565,SC,415,0,0,111,0,110.4,137.3,189.6,7.7,33,37,2,103,18.77,102,11.67,105,8.53,6,2.08,41.05,0
343-4696,VA,510,0,0,132,0,81.1,245.2,237,10.3,,,0,86,13.79,72,20.84,115,10.67,2,2.78,48.08,0
331-3698,NE,415,0,0,174,0,124.3,277.1,250.7,15.5,53,52,3,76,21.13,112,23.55,115,11.28,5,4.19,60.15,0
357-3817,WY,408,0,1,57,39,213,191.1,182.7,9.5,9,0,0,115,36.21,112,16.24,115,8.22,3,2.57,63.24,0
418-6412,MT,408,0,0,54,0,134.3,155.5,102.1,14.7,31,64,3,73,22.83,100,13.22,68,4.59,4,3.97,44.61,0
353-2630,MO,415,0,0,20,0,190,258.2,181.5,6.3,,24,0,109,32.3,84,21.95,102,8.17,6,1.7,64.12,0
410-7789,HI,510,0,0,49,0,119.3,215.1,178.7,11.1,13,26,1,117,20.28,109,18.28,90,8.04,1,3,49.6,0
416-8428,IL,415,0,0,142,0,84.8,136.7,250.5,14.2,,39,,95,14.42,63,11.62,148,11.27,6,3.83,41.14,0
370-3359,NH,510,0,0,75,0,226.1,201.5,246.2,10.3,14,24,1,105,38.44,107,17.13,98,11.08,5,2.78,69.43,0
383-1121,LA,408,0,0,172,0,212,31.2,293.3,12.6,54,,,121,36.04,115,2.65,78,13.2,10,3.4,55.29,0
360-1596,AZ,408,0,0,12,0,249.6,252.4,280.2,11.8,25,16,1,118,42.43,119,21.45,90,12.61,3,3.19,79.68,1
395-2854,OK,408,0,1,57,25,176.8,195,213.5,8.3,3,2,,94,30.06,75,16.58,116,9.61,4,2.24,58.49,0
362-1407,GA,415,0,1,72,37,220,217.3,152.8,14.7,56,47,,80,37.4,102,18.47,71,6.88,6,3.97,66.72,0
341-9764,AK,408,0,1,36,30,146.3,162.5,129.3,14.5,,20,,128,24.87,80,13.81,109,5.82,6,3.92,48.42,0
353-3305,MA,415,0,0,78,0,130.8,223.7,227.8,10,15,20,1,64,22.24,116,19.01,108,10.25,5,2.7,54.2,0
402-1381,AK,415,1,1,136,33,203.9,187.6,101.7,10.5,54,44,3,106,34.66,99,15.95,107,4.58,6,2.84,58.03,0
332-9891,NJ,408,0,0,149,0,140.4,271.8,188.3,11.1,,23,,94,23.87,92,23.1,108,8.47,9,3,58.44,0
372-9976,GA,408,0,0,98,0,126.3,166.8,187.8,9.4,37,49,,102,21.47,85,14.18,135,8.45,2,2.54,46.64,0
383-6029,MD,408,1,1,135,41,173.1,203.9,122.2,14.6,27,22,0,85,29.43,107,17.33,78,5.5,15,3.94,56.2,1
353-7289,AR,510,0,0,34,0,124.8,282.2,311.5,10,23,28,2,82,21.22,98,23.99,78,14.02,4,2.7,61.93,0
390-7274,ID,415,0,0,160,0,85.8,165.3,178.5,9.2,,50,3,77,14.59,110,14.05,92,8.03,4,2.48,39.15,0
352-1237,WI,510,0,0,64,0,154,225.8,265.3,3.5,24,20,1,67,26.18,118,19.19,86,11.94,3,0.95,58.26,0
353-3061,OR,408,0,1,59,28,120.9,213,163.1,8.5,31,27,2,97,20.55,92,18.11,116,7.34,5,2.3,48.3,0
